issue_date,date,T2M,PRECTOTCORR_SUM,QV2M,T2MDEW,PSFC,MSL
2018-04-01,2018-08-01,23.724777,121.88436095854816,15.037959,19.00012,91.68253,100.91801
2018-04-01,2018-09-01,23.730307,105.82460981958053,15.081418,19.055008,91.74816,100.99008
2018-04-01,2018-10-01,24.28261,96.70557991897358,14.954139,18.922436,91.81524,101.046074
2018-05-01,2018-06-01,26.537807,140.88327520033891,15.255952,19.214758,91.64861,100.79067
2018-05-01,2018-07-01,24.27404,91.92339544436511,15.220251,19.185417,91.64119,100.85479
2018-05-01,2018-08-01,23.763256,111.49615013599396,14.954322,18.911343,91.68213,100.91631
2018-05-01,2018-09-01,23.720444,107.95570794273826,15.096901,19.068613,91.734024,100.97482
2018-05-01,2018-10-01,24.29574,89.34908047844382,14.97771,18.947037,91.79893,101.027695
2018-05-01,2018-11-01,23.613262,144.4351069015615,15.255152,19.259354,91.96995,101.23799
2018-06-01,2018-07-01,23.96188,144.07843091908623,15.622541,19.598188,91.619415,100.840866
2018-06-01,2018-08-01,23.397753,123.63636231656169,14.927245,18.877632,91.64935,100.89205
2018-06-01,2018-09-01,23.623646,91.97634872268227,14.975516,18.937916,91.710106,100.951614
2018-06-01,2018-10-01,24.198765,83.3269280183549,14.830422,18.793299,91.796005,101.02758
2018-06-01,2018-11-01,23.708424,147.82755818437127,15.111882,19.09647,91.94791,101.21067
2018-06-01,2018-12-01,22.229607,58.95173688963348,13.635449,17.491522,92.04249,101.36303
2018-07-01,2018-08-01,23.604143,96.00286751868678,14.621212,18.552122,91.65966,100.89671
2018-07-01,2018-09-01,23.844406,78.40432251200957,14.574787,18.517937,91.7575,100.99665
2018-07-01,2018-10-01,24.338972,83.81603632253758,14.636381,18.581978,91.80735,101.03556
2018-07-01,2018-11-01,23.678534,156.949164797278,15.122731,19.12915,91.9669,101.23252
2018-07-01,2018-12-01,22.267553,66.12100675965057,13.49989,17.331734,92.06747,101.38927
2018-07-01,2019-01-01,21.345095,18.31903150663072,11.235986,14.462254,92.113396,101.470276
2018-08-01,2018-09-01,23.871706,62.571769812527826,14.102519,17.994467,91.726746,100.961914
2018-08-01,2018-10-01,24.426844,75.20352002627709,14.361492,18.285501,91.8075,101.03289
2018-08-01,2018-11-01,23.872644,151.4171085988774,14.8740015,18.841017,91.95328,101.21127
2018-08-01,2018-12-01,22.219439,65.47178508049133,13.27719,17.055717,92.051636,101.373436
2018-08-01,2019-01-01,21.387915,11.290004495020007,11.054043,14.220857,92.14592,101.50466
2018-08-01,2019-02-01,22.430693,3.7989250766296014,9.3463,11.606263,92.122154,101.4442
2018-09-01,2018-10-01,24.55394,97.93446531716515,14.52333,18.461,91.76975,100.98724
2018-09-01,2018-11-01,23.728481,137.715287138434,15.0415945,19.028057,91.94752,101.20957
2018-09-01,2018-12-01,22.124886,69.9574470327181,13.563996,17.41275,92.06306,101.389114
2018-09-01,2019-01-01,21.210756,22.315202250492337,11.392173,14.66602,92.11828,101.48008
2018-09-01,2019-02-01,21.963987,4.295232334557702,9.314227,11.57721,92.13946,101.478615
2018-09-01,2019-03-01,24.877222,4.352303239936922,8.3450985,9.866359,92.08584,101.32473
2018-10-01,2018-11-01,23.383923,169.0882560084848,15.28634,19.28552,91.90685,101.17597
2018-10-01,2018-12-01,22.333965,63.53942399165209,13.366777,17.16354,92.05169,101.36973
2018-10-01,2019-01-01,21.343449,16.795916545770915,11.044738,14.212364,92.12109,101.478806
2018-10-01,2019-02-01,22.364292,3.402362413266126,9.255623,11.485409,92.14329,101.46963
2018-10-01,2019-03-01,25.113424,2.6706099355337667,8.396933,9.999975,92.09759,101.33003
2018-10-01,2019-04-01,28.25462,6.435082826544257,8.687501,10.528866,92.00119,101.12414
2018-11-01,2018-12-01,23.530642,52.357940046226275,12.316259,15.863703,92.00533,101.27963
2018-11-01,2019-01-01,22.249378,18.972832298454115,10.542739,13.464284,92.163574,101.49574
2018-11-01,2019-02-01,23.308344,3.5217798726231444,9.109082,11.20715,92.13821,101.43315
2018-11-01,2019-03-01,25.673765,6.287339463537815,8.569168,10.218162,92.08106,101.293846
2018-11-01,2019-04-01,28.337627,7.547780661021962,8.865995,10.822414,91.997604,101.11761
2018-11-01,2019-05-01,29.33981,43.93915675434412,11.689791,14.963781,91.885704,100.963356
2018-12-01,2019-01-01,22.149769,27.297615310432864,10.957218,14.093094,92.07437,101.400734
2018-12-01,2019-02-01,22.918911,7.706913501024246,9.561154,11.945427,92.12662,101.43311
2018-12-01,2019-03-01,25.495611,3.2051905037141313,8.439088,10.048613,92.06846,101.28569
2018-12-01,2019-04-01,28.17344,9.489916742724532,8.602371,10.339456,91.99474,101.11959
2018-12-01,2019-05-01,29.460468,39.536414356062224,11.286752,14.444848,91.85802,100.92914
2018-12-01,2019-06-01,28.59186,72.74431921103421,14.0696335,17.886843,91.721,100.80571
2019-01-01,2019-02-01,22.213236,2.7828411582638237,8.221359,9.769406,92.16646,101.50006
2019-01-01,2019-03-01,25.310896,11.086336524463167,8.844623,10.713016,92.04489,101.26569
2019-01-01,2019-04-01,27.948706,11.256033015601774,9.01141,11.061921,91.983086,101.11385
2019-01-01,2019-05-01,29.230484,45.431320848564305,11.800231,15.130252,91.8687,100.94808
2019-01-01,2019-06-01,28.41591,83.7988165546866,14.475196,18.358059,91.70144,100.78966
2019-01-01,2019-07-01,25.50604,114.09568651750976,15.458299,19.422411,91.609146,100.78009
2019-02-01,2019-03-01,25.155426,7.472663921322308,9.558226,12.016305,92.10994,101.342224
2019-02-01,2019-04-01,27.907188,10.4491516377996,8.58984,10.330102,91.97404,101.10523
2019-02-01,2019-05-01,29.523304,25.746414373756625,11.183208,14.359012,91.89789,100.970955
2019-02-01,2019-06-01,28.84724,75.59022153563359,14.012545,17.844086,91.71423,100.79027
2019-02-01,2019-07-01,25.786871,119.2920833124834,15.522236,19.491001,91.63658,100.80134
2019-02-01,2019-08-01,23.970932,133.02916044698043,15.420735,19.397083,91.66767,100.8937
2019-03-01,2019-04-01,27.814415,7.290036954423961,9.548134,11.974399,92.03092,101.17064
2019-03-01,2019-05-01,29.307867,35.998400533462274,11.103228,14.214585,91.9087,100.98956
2019-03-01,2019-06-01,28.178654,102.3977667794508,14.684079,18.602898,91.75135,100.85195
2019-03-01,2019-07-01,25.631626,113.48582883208405,15.739336,19.720976,91.66553,100.838104
2019-03-01,2019-08-01,24.223227,114.75636593033286,15.338753,19.318829,91.70702,100.92886
2019-03-01,2019-09-01,24.084038,103.51786073516396,15.4189625,19.409956,91.7562,100.98749
2019-04-01,2019-05-01,29.906187,17.99996443794054,10.210587,12.988205,91.8999,100.96121
2019-04-01,2019-06-01,27.98888,109.27770723314846,14.801656,18.723072,91.73696,100.842125
2019-04-01,2019-07-01,25.498589,106.81751917624005,15.731094,19.711023,91.64577,100.82059
2019-04-01,2019-08-01,24.18683,125.77277405822979,15.330623,19.304094,91.679276,100.89951
2019-04-01,2019-09-01,23.974667,115.45356669846703,15.438369,19.426514,91.746124,100.97992
2019-04-01,2019-10-01,24.495558,96.08081885587936,15.212849,19.200985,91.82377,101.04861
2019-05-01,2019-06-01,28.380333,92.22521788933697,13.862956,17.698778,91.736305,100.829056
2019-05-01,2019-07-01,25.215006,119.51409381043678,15.885394,19.858364,91.614456,100.79519
2019-05-01,2019-08-01,23.955418,133.89809281685774,15.324524,19.296726,91.67008,100.89686
2019-05-01,2019-09-01,23.841803,120.65577051218818,15.52639,19.515491,91.7286,100.96492
2019-05-01,2019-10-01,24.316755,97.48280306657155,15.284091,19.279804,91.82666,101.05753
